word1,word2,lift_value
aroma,bourbon,0.9893262276360868
aroma,black,0.9745028046914839
aroma,coffee,0.8360590622571452
aroma,light,0.46607436165447214
aroma,body,0.3451269451269451
aroma,fruit,0.8332403577955179
aroma,carbonation,0.13063795502819894
aroma,finish,0.030471179143745513
aroma,smooth,0.20659459459459456
aroma,malt,0.8608108108108107
aroma,mouthfeel,0.18363963963963964
aroma,caramel,0.8764619164619164
aroma,thick,0.4087868690608416
aroma,roasted,0.9722098569157394
aroma,balanced,0.3928532559405042
aroma,thin,0.8001903311762465
aroma,funk,0.453058321479374
aroma,deep,0.8155049786628733
aroma,bodied,0.07027027027027027
aroma,vintage,0.07485311398354877
aroma,boozy,0.484206081081081
bourbon,black,0.6545486757020108
bourbon,coffee,1.9606173783917564
bourbon,light,0.5799470858298965
bourbon,body,0.3764404609475032
bourbon,fruit,0.5363941657059796
bourbon,carbonation,0.23341348906446815
bourbon,finish,0.5557771407204288
bourbon,smooth,0.7536338028169015
bourbon,malt,1.434022165781575
bourbon,mouthfeel,0.48447887323943667
bourbon,caramel,1.7617413572343152
bourbon,thick,0.44244645957939416
bourbon,roasted,2.343231151615576
bourbon,balanced,0.8309481047357973
bourbon,thin,0.37909145010910533
bourbon,funk,0.0
bourbon,deep,0.3187361008154188
bourbon,bodied,0.5859154929577466
bourbon,vintage,0.15603184323331293
bourbon,boozy,1.2196082746478873
black,coffee,0.7807784274720195
black,light,0.5644219743563015
black,body,0.2521440823327616
black,fruit,0.1853443452181114
black,carbonation,0.0977143733701488
black,finish,0.0709077753659487
black,smooth,0.1068343815513627
black,malt,0.5089957727600783
black,mouthfeel,0.08012578616352202
black,caramel,0.4188393367638651
black,thick,0.8232101318170071
black,roasted,0.9897891231964485
black,balanced,0.16132708623527922
black,thin,1.0438922845247585
black,funk,0.0
black,deep,0.8961436610393909
black,bodied,0.05450733752620545
black,vintage,0.7257770485826269
black,boozy,0.281692216981132
coffee,light,0.5059749704340458
coffee,body,0.3842579146093523
coffee,fruit,0.3476402169340443
coffee,carbonation,0.2316423803215668
coffee,finish,0.5042834120274817
coffee,smooth,0.7123003194888179
coffee,malt,1.3512020112082963
coffee,mouthfeel,0.5698402555910542
coffee,caramel,1.1933343014812663
coffee,thick,0.44605890848614815
coffee,roasted,2.621744033076489
coffee,balanced,0.6146407358963911
coffee,thin,0.42995995140170085
coffee,funk,0.0
coffee,deep,0.3213384899949554
coffee,bodied,0.4568690095846645
coffee,vintage,0.13272676760661203
coffee,boozy,0.9062749600638977
light,body,1.1690105474635863
light,fruit,0.4320894201844242
light,carbonation,0.8154561379867943
light,finish,0.5450300689385421
light,smooth,0.5454972375690608
light,malt,0.6706933248799928
light,mouthfeel,0.5279005524861878
light,caramel,0.9838146659969864
light,thick,0.3856807689396806
light,roasted,0.31052973675658113
light,balanced,0.3188661055285698
light,thin,0.6319936191736051
light,funk,1.1576766501890083
light,deep,0.4862241930793835
light,bodied,0.718232044198895
light,vintage,0.2295219793418208
light,boozy,0.3299378453038674
body,fruit,0.3329019734713685
body,carbonation,1.9315102241931512
body,finish,0.8803968892464468
body,smooth,0.9503030303030303
body,malt,0.49292101341281674
body,mouthfeel,1.0542424242424242
body,caramel,0.506198347107438
body,thick,0.6712328767123287
body,roasted,0.2882352941176471
body,balanced,0.2989627821842587
body,thin,0.34507042253521125
body,funk,0.4298245614035087
body,deep,0.08791866028708134
body,bodied,0.0
body,vintage,0.19367588932806326
body,boozy,0.5568181818181818
fruit,carbonation,0.23959147064780256
fruit,finish,0.4814663181431676
fruit,smooth,0.4080427046263345
fruit,malt,0.6131789277171694
fruit,mouthfeel,0.4533807829181495
fruit,caramel,1.2055807182141702
fruit,thick,0.031053478282065033
fruit,roasted,0.4400460540087922
fruit,balanced,0.5933506890539539
fruit,thin,0.2873540173424891
fruit,funk,0.83517512642817
fruit,deep,0.26844914778048323
fruit,bodied,0.3238434163701068
fruit,vintage,0.04928051988240756
fruit,boozy,0.4781750444839857
carbonation,finish,1.084658368707581
carbonation,smooth,1.2429268292682927
carbonation,malt,0.1485739037718246
carbonation,mouthfeel,1.7780758807588077
carbonation,caramel,0.4237250554323725
carbonation,thick,0.5911942681070647
carbonation,roasted,0.1827833572453372
carbonation,balanced,0.3823320783543406
carbonation,thin,0.29176686133058516
carbonation,funk,0.4997147339894452
carbonation,deep,0.20442875481386394
carbonation,bodied,1.7615176151761518
carbonation,vintage,0.15011193590196772
carbonation,boozy,0.5664380081300813
finish,smooth,0.7892035398230088
finish,malt,0.46206296242564926
finish,mouthfeel,1.221386430678466
finish,caramel,0.3587288817377313
finish,thick,0.28314543176950746
finish,roasted,0.36475793857365957
finish,balanced,0.5675001484825086
finish,thin,0.11909510158294902
finish,funk,0.8406303369042074
finish,deep,0.14834653004191897
finish,bodied,0.8053097345132744
finish,vintage,0.04084904450429652
finish,boozy,1.1010094026548671
smooth,malt,0.5221311475409836
smooth,mouthfeel,1.3589333333333333
smooth,caramel,0.46327272727272734
smooth,thick,0.9307762557077625
smooth,roasted,0.637
smooth,balanced,1.1115436241610737
smooth,thin,0.2691549295774648
smooth,funk,0.11175438596491229
smooth,deep,0.3352631578947368
smooth,bodied,1.2133333333333334
smooth,vintage,0.13847826086956522
smooth,boozy,0.7464843749999999
malt,mouthfeel,0.287172131147541
malt,caramel,1.4951937406855442
malt,thick,0.17881203682910396
malt,roasted,3.2249276759884284
malt,balanced,0.4205083067444163
malt,thin,0.3309281921034403
malt,funk,0.41220880069025023
malt,deep,0.0
malt,bodied,0.4795081967213114
malt,vintage,0.0
malt,boozy,0.8566214139344263
mouthfeel,caramel,0.20268181818181819
mouthfeel,thick,1.5706849315068492
mouthfeel,roasted,0.07494117647058825
mouthfeel,balanced,0.7695302013422817
mouthfeel,thin,0.40373239436619707
mouthfeel,funk,0.44701754385964915
mouthfeel,deep,0.0838157894736842
mouthfeel,bodied,1.3866666666666667
mouthfeel,vintage,0.04615942028985508
mouthfeel,boozy,0.44789062499999993
caramel,thick,0.43630136986301377
caramel,roasted,1.3285026737967915
caramel,balanced,0.4080841976815131
caramel,thin,0.12234314980793853
caramel,funk,0.0
caramel,deep,0.2857356459330143
caramel,bodied,0.5909090909090908
caramel,vintage,0.06294466403162055
